2021-07-04 15:07:639 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-04 15:07:65 INFO  BuyPage :34 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (6043cba462a8597d876323a54b0e5ab6)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (6043cba462a8597d876323a54b0e5ab6)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 15:07:290 INFO  BuyPage :40 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (6043cba462a8597d876323a54b0e5ab6)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (6043cba462a8597d876323a54b0e5ab6)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 15:07:345 INFO  BuyPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (6043cba462a8597d876323a54b0e5ab6)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 15:07:908 INFO  BuyPage :51 - Selecting Make : [[ChromeDriver: chrome on WINDOWS (6043cba462a8597d876323a54b0e5ab6)] -> xpath: //select[@id='makes']] to make field : [[ChromeDriver: chrome on WINDOWS (6043cba462a8597d876323a54b0e5ab6)] -> xpath: //select[@id='makes']]
2021-07-04 15:07:206 INFO  BuyPage :56 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (6043cba462a8597d876323a54b0e5ab6)] -> xpath: //select[@id='models']] to model field : [[ChromeDriver: chrome on WINDOWS (6043cba462a8597d876323a54b0e5ab6)] -> xpath: //select[@id='models']]
2021-07-04 15:07:513 INFO  BuyPage :61 - Selecting location : [[ChromeDriver: chrome on WINDOWS (6043cba462a8597d876323a54b0e5ab6)] -> xpath: //select[@id='locations']] to location field : [[ChromeDriver: chrome on WINDOWS (6043cba462a8597d876323a54b0e5ab6)] -> xpath: //select[@id='locations']]
2021-07-04 15:07:914 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-04 15:07:400 INFO  BuyPage :34 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (614c924846cdfa58c9436fb67477461d)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (614c924846cdfa58c9436fb67477461d)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 15:07:835 INFO  BuyPage :40 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (614c924846cdfa58c9436fb67477461d)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (614c924846cdfa58c9436fb67477461d)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 15:07:885 INFO  BuyPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (614c924846cdfa58c9436fb67477461d)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 15:07:603 INFO  BuyPage :51 - Selecting Make : [[ChromeDriver: chrome on WINDOWS (614c924846cdfa58c9436fb67477461d)] -> xpath: //select[@id='makes']] to make field : [[ChromeDriver: chrome on WINDOWS (614c924846cdfa58c9436fb67477461d)] -> xpath: //select[@id='makes']]
2021-07-04 15:07:142 INFO  BuyPage :56 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (614c924846cdfa58c9436fb67477461d)] -> xpath: //select[@id='models']] to model field : [[ChromeDriver: chrome on WINDOWS (614c924846cdfa58c9436fb67477461d)] -> xpath: //select[@id='models']]
2021-07-04 15:07:98 INFO  BuyPage :61 - Selecting location : [[ChromeDriver: chrome on WINDOWS (614c924846cdfa58c9436fb67477461d)] -> xpath: //select[@id='locations']] to location field : [[ChromeDriver: chrome on WINDOWS (614c924846cdfa58c9436fb67477461d)] -> xpath: //select[@id='locations']]
2021-07-04 15:07:650 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-04 15:07:628 INFO  BuyPage :34 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (51d385ec2a47dd228a94360952033f16)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (51d385ec2a47dd228a94360952033f16)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 15:07:33 INFO  BuyPage :40 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (51d385ec2a47dd228a94360952033f16)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (51d385ec2a47dd228a94360952033f16)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 15:07:76 INFO  BuyPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (51d385ec2a47dd228a94360952033f16)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 15:07:529 INFO  BuyPage :51 - Selecting Make : [[ChromeDriver: chrome on WINDOWS (51d385ec2a47dd228a94360952033f16)] -> xpath: //select[@id='makes']] to make field : [[ChromeDriver: chrome on WINDOWS (51d385ec2a47dd228a94360952033f16)] -> xpath: //select[@id='makes']]
2021-07-04 15:07:820 INFO  BuyPage :56 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (51d385ec2a47dd228a94360952033f16)] -> xpath: //select[@id='models']] to model field : [[ChromeDriver: chrome on WINDOWS (51d385ec2a47dd228a94360952033f16)] -> xpath: //select[@id='models']]
2021-07-04 15:07:100 INFO  BuyPage :61 - Selecting location : [[ChromeDriver: chrome on WINDOWS (51d385ec2a47dd228a94360952033f16)] -> xpath: //select[@id='locations']] to location field : [[ChromeDriver: chrome on WINDOWS (51d385ec2a47dd228a94360952033f16)] -> xpath: //select[@id='locations']]
2021-07-04 15:07:370 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-04 15:07:671 INFO  BuyPage :34 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (c9e521cb204ff207bc76067930b0660c)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (c9e521cb204ff207bc76067930b0660c)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 15:07:174 INFO  BuyPage :40 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (c9e521cb204ff207bc76067930b0660c)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (c9e521cb204ff207bc76067930b0660c)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 15:07:219 INFO  BuyPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (c9e521cb204ff207bc76067930b0660c)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 15:07:633 INFO  BuyPage :51 - Selecting Make : [[ChromeDriver: chrome on WINDOWS (c9e521cb204ff207bc76067930b0660c)] -> xpath: //select[@id='makes']] to make field : [[ChromeDriver: chrome on WINDOWS (c9e521cb204ff207bc76067930b0660c)] -> xpath: //select[@id='makes']]
2021-07-04 15:07:956 INFO  BuyPage :56 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (c9e521cb204ff207bc76067930b0660c)] -> xpath: //select[@id='models']] to model field : [[ChromeDriver: chrome on WINDOWS (c9e521cb204ff207bc76067930b0660c)] -> xpath: //select[@id='models']]
2021-07-04 15:07:261 INFO  BuyPage :61 - Selecting location : [[ChromeDriver: chrome on WINDOWS (c9e521cb204ff207bc76067930b0660c)] -> xpath: //select[@id='locations']] to location field : [[ChromeDriver: chrome on WINDOWS (c9e521cb204ff207bc76067930b0660c)] -> xpath: //select[@id='locations']]
2021-07-04 15:07:535 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-04 15:07:416 INFO  BuyPage :34 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (b694780ccfb7488a61b886b0f479d8b1)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (b694780ccfb7488a61b886b0f479d8b1)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 15:07:83 INFO  BuyPage :40 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (b694780ccfb7488a61b886b0f479d8b1)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (b694780ccfb7488a61b886b0f479d8b1)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 15:07:165 INFO  BuyPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (b694780ccfb7488a61b886b0f479d8b1)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 15:07:522 INFO  BuyPage :51 - Selecting Make : [[ChromeDriver: chrome on WINDOWS (b694780ccfb7488a61b886b0f479d8b1)] -> xpath: //select[@id='makes']] to make field : [[ChromeDriver: chrome on WINDOWS (b694780ccfb7488a61b886b0f479d8b1)] -> xpath: //select[@id='makes']]
2021-07-04 15:07:864 INFO  BuyPage :56 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (b694780ccfb7488a61b886b0f479d8b1)] -> xpath: //select[@id='models']] to model field : [[ChromeDriver: chrome on WINDOWS (b694780ccfb7488a61b886b0f479d8b1)] -> xpath: //select[@id='models']]
2021-07-04 15:07:206 INFO  BuyPage :61 - Selecting location : [[ChromeDriver: chrome on WINDOWS (b694780ccfb7488a61b886b0f479d8b1)] -> xpath: //select[@id='locations']] to location field : [[ChromeDriver: chrome on WINDOWS (b694780ccfb7488a61b886b0f479d8b1)] -> xpath: //select[@id='locations']]
2021-07-04 15:07:851 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-04 15:07:378 INFO  BuyPage :34 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 15:07:628 INFO  BuyPage :40 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 15:07:663 INFO  BuyPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 15:07:30 INFO  BuyPage :51 - Selecting Make : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //select[@id='makes']] to make field : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //select[@id='makes']]
2021-07-04 15:07:307 INFO  BuyPage :56 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //select[@id='models']] to model field : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //select[@id='models']]
2021-07-04 15:07:609 INFO  BuyPage :61 - Selecting location : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //select[@id='locations']] to location field : [[ChromeDriver: chrome on WINDOWS (f8c1e98a0a0fd32ff245a8a3b7ed89d0)] -> xpath: //select[@id='locations']]
2021-07-04 23:07:147 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-04 23:07:610 INFO  BuyPage :34 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 23:07:614 INFO  BuyPage :40 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 23:07:665 INFO  BuyPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 23:07:107 INFO  BuyPage :51 - Selecting Make : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //select[@id='makes']] to make field : [[ChromeDriver: chrome on WINDOWS (4d5c052e09488e9ee7184e2d4411c391)] -> xpath: //select[@id='makes']]
2021-07-04 23:07:845 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 00:07:906 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 00:07:628 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 00:07:392 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 00:07:983 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 00:07:824 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 00:07:722 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:338 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:462 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:196 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:653 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:387 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:840 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:407 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:20 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:532 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:171 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:233 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:370 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:773 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-05 15:07:418 INFO  BuyPage :34 - Mouse hover on Buyandsell : [[ChromeDriver: chrome on WINDOWS (f4d532887255344a7067252df74caf8a)] -> xpath: //a[contains(text(),'buy + sell')]] to buyandsell field : [[ChromeDriver: chrome on WINDOWS (f4d532887255344a7067252df74caf8a)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-05 15:07:137 INFO  BuyPage :40 - Clicking on searchcars : [[ChromeDriver: chrome on WINDOWS (f4d532887255344a7067252df74caf8a)] -> xpath: //a[contains(text(),'Search Cars')]] tosearchcars field : [[ChromeDriver: chrome on WINDOWS (f4d532887255344a7067252df74caf8a)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-05 15:07:186 INFO  BasePage :33 - Launching Chrome Browser 
